column,missing_count,missing_percentage,non_missing_count,missing_category
QualityID_134_eCQM-CQM,2392,99.71,7,Very High
QualityID_001_eCQM-CQM,2392,99.71,7,Very High
QualityID_236_eCQM-CQM,2392,99.71,7,Very High
AIPRecoup,2380,99.21,19,Very High
AIPBalance,2380,99.21,19,Very High
AIPOwe,2380,99.21,19,Very High
QualityID_001_MedicareCQM,2377,99.08,22,Very High
QualityID_236_MedicareCQM,2375,99.0,24,Very High
QualityID_134_MedicareCQM,2373,98.92,26,Very High
Met_AltQPS,2370,98.79,29,Very High
QualityID_134_MIPSCQM,2368,98.71,31,Very High
Adv_Pay_Amt,2353,98.08,46,Very High
Adv_Pay_Recoup,2353,98.08,46,Very High
QualityID_236_MIPSCQM,2349,97.92,50,Very High
QualityID_001_MIPSCQM,2346,97.79,53,Very High
QualityID_001_eCQM,2342,97.62,57,Very High
QualityID_236_eCQM,2341,97.58,58,Very High
PriorSavAdj,2328,97.04,71,Very High
QualityID_134_eCQM,2324,96.87,75,Very High
Guardrail,2259,94.16,140,Very High
Demog_RiskScore_AGDU_BY3,2259,94.16,140,Very High
Demog_RiskScore_DIS_BY3,2259,94.16,140,Very High
Demog_RiskScore_AGND_BY3,2259,94.16,140,Very High
Demog_RiskScore_ESRD_BY3,2249,93.75,150,Very High
RR_weight_ESRD_PY,1966,81.95,433,High
Demog_RiskScore_ESRD_PY,1966,81.95,433,High
Sav_Rate,1924,80.2,475,High
Report_CQM,1924,80.2,475,High
MaxShareRate,1924,80.2,475,High
Report_eCQM,1924,80.2,475,High
Measure_MCC1,1924,80.2,475,High
RegAdj,1923,80.16,476,High
Report_eCQM_CQM_MedicareCQM,1923,80.16,476,High
Recvd40p,1923,80.16,476,High
Met_40pctl,1923,80.16,476,High
Demog_RiskScore_AGND_PY,1923,80.16,476,High
RR_weight_DIS_PY,1923,80.16,476,High
RR_weight_AGDU_PY,1923,80.16,476,High
Demog_RiskScore_AGDU_PY,1923,80.16,476,High
FinalAdjCat,1923,80.16,476,High
Demog_RiskScore_DIS_PY,1923,80.16,476,High
ReducedSS,1923,80.16,476,High
Met_SSP_quality_reporting_requirements,1923,80.16,476,High
AIP,1923,80.16,476,High
RR_weight_AGND_PY,1923,80.16,476,High
ACO40,1899,79.16,500,High
ACO42,1896,79.03,503,High
ACO17,1895,78.99,504,High
ACO18,1894,78.95,505,High
ACO13,1894,78.95,505,High
ACO28,1894,78.95,505,High
ACO27,1894,78.95,505,High
ACO14,1894,78.95,505,High
ACO19,1894,78.95,505,High
ACO20,1894,78.95,505,High
copd_adm,1886,78.62,513,High
prov_Rate_1000,1886,78.62,513,High
ACO38,1886,78.62,513,High
ACO4,1886,78.62,513,High
QualPerfShare,1886,78.62,513,High
RecvdMean,1886,78.62,513,High
chf_adm,1886,78.62,513,High
ACO46,1886,78.62,513,High
ACO45,1886,78.62,513,High
ACO6,1886,78.62,513,High
ACO8,1886,78.62,513,High
ACO34,1886,78.62,513,High
ACO43,1886,78.62,513,High
ACO3,1886,78.62,513,High
ACO2,1886,78.62,513,High
ACO5,1886,78.62,513,High
ACO1,1886,78.62,513,High
RegTrndUpdt,1886,78.62,513,High
ACO7,1886,78.62,513,High
FinalLossRate,1778,74.11,621,High
DisAdj,1747,72.82,652,High
Measure_484,1534,63.94,865,High
N_AB_Year_NonDual_PY,1470,61.28,929,High
N_AB_Year_Dual_PY,1470,61.28,929,High
Met_30pctl,1464,61.03,935,High
Report_eCQM_CQM,1464,61.03,935,High
AIM,1411,58.82,988,High
Current_ENHANCED,1411,58.82,988,High
Current_Track_1_Plus,1411,58.82,988,High
Current_Track_1,1411,58.82,988,High
Current_Track_2,1411,58.82,988,High
Current_BASIC_E,1411,58.82,988,High
Current_BASIC_B,1411,58.82,988,High
Current_BASIC_C,1411,58.82,988,High
Current_Track_3,1411,58.82,988,High
ACO_State,1411,58.82,988,High
Current_BASIC_A,1411,58.82,988,High
RevLossLimit,1411,58.82,988,High
Adv_Pay,1411,58.82,988,High
Current_BASIC_D,1411,58.82,988,High
Initial_Start_Date,1411,58.82,988,High
N_Ben_CBA_Only,1044,43.52,1355,Moderate
N_Ben_Race_Unknown,998,41.6,1401,Moderate
Perc_CovEpisode,993,41.39,1406,Moderate
Perc_CovDiag,989,41.23,1410,Moderate
Report_Inc,989,41.23,1410,Moderate
Recvd30p,989,41.23,1410,Moderate
N_Ben_CBA_and_VA,988,41.18,1411,Moderate
Current_Track,988,41.18,1411,Moderate
N_Ben_VA_Only,988,41.18,1411,Moderate
Met_Incentive,988,41.18,1411,Moderate
Impact_Mid_Year_Termination,988,41.18,1411,Moderate
Met_FirstYear,988,41.18,1411,Moderate
QualityID_370,675,28.14,1724,Moderate
QualityID_438,673,28.05,1726,Moderate
QualityID_112,671,27.97,1728,Moderate
QualityID_113,671,27.97,1728,Moderate
QualityID_110,670,27.93,1729,Moderate
QualityID_236_WI,670,27.93,1729,Moderate
QualityID_134_WI,670,27.93,1729,Moderate
QualityID_001_WI,670,27.93,1729,Moderate
QualityID_318,670,27.93,1729,Moderate
QualityID_226,670,27.93,1729,Moderate
Perc_LTI,669,27.89,1730,Moderate
PosRegAdj,669,27.89,1730,Moderate
Measure_479,584,24.34,1815,Moderate
CAHPS_4,519,21.63,1880,Moderate
CAHPS_1,519,21.63,1880,Moderate
CAHPS_5,518,21.59,1881,Moderate
CAHPS_3,518,21.59,1881,Moderate
CAHPS_2,518,21.59,1881,Moderate
CAHPS_7,518,21.59,1881,Moderate
CAHPS_11,518,21.59,1881,Moderate
CAHPS_9,518,21.59,1881,Moderate
CAHPS_6,518,21.59,1881,Moderate
CAHPS_8,518,21.59,1881,Moderate
Assign_Type,513,21.38,1886,Moderate
Report_WI,513,21.38,1886,Moderate
SNF_PayperStay,513,21.38,1886,Moderate
SNF_LOS,513,21.38,1886,Moderate
Perc_Dual,513,21.38,1886,Moderate
Sav_rate,475,19.8,1924,Low
CapAnn_INP_Psych,151,6.29,2248,Low
ADM_Rehab,132,5.5,2267,Low
CMS_HCC_RiskScore_ESRD_PY,114,4.75,2285,Low
Per_Capita_Exp_ALL_ESRD_PY,114,4.75,2285,Low
N_AB_Year_ESRD_PY,114,4.75,2285,Low
N_AB_Year_AGED_Dual_PY,98,4.09,2301,Low
N_Ben_Race_Other,67,2.79,2332,Low
N_Ben_Race_Black,48,2.0,2351,Low
Per_Capita_Exp_ALL_ESRD_BY3,44,1.83,2355,Low
N_AB_Year_ESRD_BY3,44,1.83,2355,Low
CMS_HCC_RiskScore_ESRD_BY3,44,1.83,2355,Low
Per_Capita_Exp_ALL_ESRD_BY2,18,0.75,2381,Low
CMS_HCC_RiskScore_ESRD_BY2,18,0.75,2381,Low
N_AB_Year_DIS_PY,15,0.63,2384,Low
Per_Capita_Exp_ALL_ESRD_BY1,14,0.58,2385,Low
CMS_HCC_RiskScore_ESRD_BY1,14,0.58,2385,Low
CapAnn_INP_Rehab,11,0.46,2388,Low
